sample_id,country,location,year,month,latitude,longitude,sex_call,aim_species,taxon,2La,2Rb,2Rc,2Rd,2Rj,2Ru,rdl_gt
AN0011-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,1,0,0,0,0,A_A
AN0012-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AN0013-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AN0014-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AN0015-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,0,0,0,0,0,A_G
AN0016-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,1,1,0,0,0,0,A_A
AN0017-Cx,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,1,2,0,0,0,0,A_G
AN0018-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,0,0,0,0,0,A_G
AN0019-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,0,0,0,0,0,G_A
AN0020-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,0,1,0,0,0,0,G_A
AN0021-C,Cameroon,Mayos,2009,9,4.341,13.558,F,gambiae,gambiae,1,2,0,0,0,0,G_A
AN0022-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,1,1,0,0,0,0,A_G
AN0023-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,2,1,0,0,0,0,A_A
AN0024-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,2,2,0,0,0,0,A_A
AN0025-Cx,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,1,0,0,0,0,0,A_A
AN0026-Cx,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,2,1,0,0,0,0,A_G
AN0027-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,1,2,0,0,0,0,A_G
AN0028-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,0,1,0,0,0,0,A_A
AN0029-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,1,1,0,0,0,0,A_A
AN0030-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,2,0,0,0,0,0,A_A
AN0031-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,1,1,0,0,0,0,G_A
AN0032-C,Cameroon,Gado Badzere,2009,9,5.747,14.442,M,gambiae,gambiae,1,2,0,0,0,0,A_A
AP0002-C,Mayotte,Combani,2011,-1,-12.779,45.143,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0005-C,Mayotte,Bouyouni,2011,-1,-12.738,45.142,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0006-C,Mayotte,Mtsanga Charifou,2011,-1,-12.991,45.156,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AP0007-C,Mayotte,Mtsamboro Forest Reserve,2011,-1,-12.703,45.081,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AP0008-C,Mayotte,Combani,2011,-1,-12.779,45.143,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AP0009-C,Mayotte,Combani,2011,-1,-12.779,45.143,M,gambiae,gambiae,2,0,0,0,0,0,A_A
AP0010-C,Mayotte,Combani,2011,-1,-12.779,45.143,M,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0011-C,Mayotte,Combani,2011,-1,-12.779,45.143,M,gambiae,gambiae,2,0,0,0,0,0,A_A
AP0013-Cx,Mayotte,Combani,2011,-1,-12.779,45.143,M,gambiae,gambiae,2,0,0,0,0,0,A_A
AP0014-Cx,Mayotte,Mont Benara,2011,-1,-12.857,45.155,M,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0017-Cx,Mayotte,Mtsanga Charifou,2011,-1,-12.991,45.156,F,gambiae,gambiae,1,0,0,0,0,0,A_A
AP0019-C,Mayotte,Mtsanga Charifou,2011,-1,-12.991,45.156,M,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0020-C,Mayotte,Mtsanga Charifou,2011,-1,-12.991,45.156,M,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0021-C,Mayotte,Karihani Lake,2011,-1,-12.797,45.122,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0022-C,Mayotte,Karihani Lake,2011,-1,-12.797,45.122,F,gambiae,gambiae,2,0,0,0,0,0,A_A
AP0023-C,Mayotte,Mtsanga Charifou,2011,-1,-12.991,45.156,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0025-C,Mayotte,Sada,2011,-1,-12.852,45.104,M,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0030-C,Mayotte,Mont Benara,2011,-1,-12.857,45.155,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0031-C,Mayotte,Mtsanga Charifou,2011,-1,-12.991,45.156,M,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0032-C,Mayotte,Mtsanga Charifou,2011,-1,-12.991,45.156,M,gambiae,gambiae,1,0,0,0,0,0,A_A
AP0033-C,Mayotte,Karihani Lake,2011,-1,-12.797,45.122,F,gambiae,gambiae,0,0,0,0,0,0,A_A
AP0034-C,Mayotte,Sada,2011,-1,-12.852,45.104,M,gambiae,gambiae,1,0,0,0,0,0,A_A
AP0035-C,Mayotte,Sada,2011,-1,-12.852,45.104,M,gambiae,gambiae,0,0,0,0,0,0,A_A
